id,fname,lat,long,ename
12167359,برزول,,,
12167360,بهار,,,
12167361,تويسركان,,,
12167362,جورقان,,,
12167363,جوكار,,,
12167364,دمق,,,
12167365,رزن,,,
12167366,زنگنه,,,
12167367,سامن,,,
12167368,سركان,,,
12167369,شيرين سو,,,
12167370,صالح آباد,,,
12167371,فامنين,,,
12167372,فرسفج,,,
12167373,فيروزان,,,
12167374,قروه در جزين,,,
12167375,قهاوند,,,
12167376,كبودرآهنگ,,,
12167377,گل تپه,,,
12167378,گيان,,,
12167379,لالجين,,,
12167380,مريانج,,,
12167381,ملاير,,,
12167382,نهاوند,,,
12167383,همدان,,,
12167384,ابركوه,,,
12167385,احمدآباد,,,
12167386,اردكان,,,
12167387,اشكذر,,,
12167388,بافق,,,
12167389,بفروئيه,,,
12167390,بهاباد,,,
12167391,تفت,,,
12167392,حميديا,,,
12167393,خضرآباد,,,
12167394,ديهوك,,,
12167395,زارچ,,,
12167396,شاهديه,,,
12167397,طبس,,,
12167398,عشق آباد,,,
12167399,عقدا,,,
12167400,مروست,,,
12167401,مهردشت,,,
12167402,مهريز,,,
12167403,ميبد,,,
12167404,ندوشن,,,
12167405,نير,,,
12167406,هرات,,,
