id,fname,lat,long,ename
12166520,قره ضياءالدين,,,
12166521,قطور,,,
12166522,قوشچي,,,
12166523,كشاورز,,,
12166524,گردكشانه,,,
12166525,ماكو,,,
12166526,محمديار,,,
12166527,محمودآباد,,,
12166528,مهاباد,,,
12166529,مياندوآب,,,
12166530,ميرآباد,,,
12166531,نالوس,,,
12166532,نقده,,,
12166533,نوشين,,,
12166534,امام حسن,,,
12166535,انارستان,,,
12166536,اهرم,,,
12166537,آبپخش,,,
12166538,آبدان,,,
12166539,برازجان,,,
12166540,بردخون,,,
12166541,بردستان,,,
12166542,بندردير,,,
12166543,بندرديلم,,,
12166544,بندرريگ,,,
12166545,بندركنگان,,,
12166546,بندرگناوه,,,
12166547,بنك,,,
12166548,بوشهر,,,
12166549,تنگ ارم,,,
12166550,جم,,,
12166551,چغادك,,,
12166552,خارك,,,
12166553,خورموج,,,
12166554,دالكي,,,
12166555,دلوار,,,
12166556,ريز,,,
12166557,سعدآباد,,,
12166558,سيراف,,,
12166559,شبانكاره,,,
12166560,شنبه,,,
12166561,عسلويه,,,
12166562,كاكي,,,
12166563,كلمه,,,
12166564,نخل تقي,,,
12166565,وحدتيه,,,
12166566,ارجمند,,,
12166567,اسلامشهر,,,
12166568,انديشه,,,
12166569,آبسرد,,,
12166570,آبعلي,,,
12166571,باغستان,,,
12166572,باقرشهر,,,
12166573,بومهن,,,
12166574,پاكدشت,,,
12166575,پرديس,,,
12166576,پيشوا,,,
12166577,تجريش,,,
12166578,تهران,,,
12166579,جوادآباد,,,
12166580,چهاردانگه,,,
12166581,حسن آباد,,,
12166582,دماوند,,,
12166583,رباط كريم,,,
12166584,رودهن,,,
12166585,ري,,,
12166586,شاهدشهر,,,
12166587,شريف آباد,,,
12166588,شهريار,,,
12166589,صالح آباد,,,
12166590,صباشهر,,,
12166591,صفادشت,,,
12166592,فردوسيه,,,
12166593,فرون آباد,,,
12166760,بندرماهشهر,,,
12166594,فشم,,,
12166595,فيروزكوه,,,
12166596,قدس,,,
12166597,قرچك,,,
12166598,كهريزك,,,
12166599,كيلان,,,
12166600,گلستان,,,
12166601,لواسان,,,
12166602,ملارد,,,
12166603,نسيم شهر,,,
12166604,نصيرآباد,,,
12166605,وحيديه,,,
12166606,ورامين,,,
12166607,اردل,,,
12166608,آلوني,,,
12166609,باباحيدر,,,
12166610,بروجن,,,
12166611,بلداجي,,,
12166612,بن,,,
12166613,جونقان,,,
12166614,چلگرد,,,
12166615,سامان,,,
12166616,سفيددشت,,,
12166617,سودجان,,,
12166618,سورشجان,,,
12166619,شلمزار,,,
12166620,شهركرد,,,
12166621,طاقانك,,,
12166622,فارسان,,,
12166623,فرادنبه,,,
12166624,فرخ شهر,,,
12166625,كيان,,,
12166626,گندمان,,,
12166627,گهرو,,,
12166628,لردگان,,,
12166629,مال خليفه,,,
12166630,ناغان,,,
12166631,نافچ,,,
12166632,نقنه,,,
12166633,هفشجان,,,
12166634,ارسك,,,
12166635,اسديه,,,
12166636,اسفدن,,,
12166637,اسلاميه,,,
12166638,آرين شهر,,,
12166639,آيسك,,,
12166640,بشرويه,,,
12166641,بيرجند,,,
12166642,حاجي آباد,,,
12166643,خضري دشت بياض,,,
12166644,خوسف,,,
12166645,زهان,,,
12166646,سرايان,,,
12166647,سربيشه,,,
12166648,سه قلعه,,,
12166649,شوسف,,,
12166650,طبس مسينا,,,
12166651,فردوس,,,
12166652,قائن,,,
12166653,قهستان,,,
12166654,گزيك,,,
12166655,محمد شهر,,,
12166656,مود,,,
12166657,نهبندان,,,
12166658,نيمبلوك,,,
12166659,احمدآبادصولت,,,
12166660,انابد,,,
12166661,باجگيران,,,
12166662,باخرز,,,
12166663,بار,,,
12166664,بايگ,,,
12166665,بجستان,,,
12166666,بردسكن,,,
12166667,بيدخت,,,
12166668,تايباد,,,
12166669,تربت جام,,,
12166670,تربت حيدريه,,,
12166761,بهبهان,,,
12166671,جغتاي,,,
12166672,جنگل,,,
12166673,چاپشلو,,,
12166674,چكنه,,,
12166675,چناران,,,
12166676,خرو,,,
12166677,خليل آباد,,,
12166678,خواف,,,
12166679,داورزن,,,
12166680,درگز,,,
12166681,درود,,,
12166682,دولت آباد,,,
12166683,رباط سنگ,,,
12166684,رشتخوار,,,
12166685,رضويه,,,
12166686,روداب,,,
